"Timestamp","1. Gender","2. What is your age ?","3. Current living District","4. Marital status","5. Highest Education Qualification","6. What is your Employment?","7. What is your monthly income range (If you don’t have a job, select NA)?","8. How often do you use the mobile banking service?","9. How many banking mobile app services you are using (in different banks)?","10. What services do you use in banking mobile app? ","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [24 hour access (anytime can access)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Time savings(no need to go to bank)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Cost savings ]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Ease of use]","12. Do you perceive mobile banking as secure","13. Do you think mobile banking service is cheap or expensive than traditional banking?","14. Please rate your overall satisfaction level of mobile banking service.","15. How do you think mobile banking apps can be improved?","16. Do you recommend banking mobile apps for others?"
"2020/11/03 9:48:03 PM GMT+5:30","Male","16-25","Colombo","Single","Degree / Diploma","Student","Not Applicable","Every 2-3 months","1","Paying Bills","1","3","2","2","Very","Cheap","Dissatisfied","Simple user-interfaces","Yes"
"2020/11/03 9:52:09 PM GMT+5:30","Male","25-35","Ratnapura","Single","Masters / PHD","Private Sector - Employee","15,000 - 100,000","Weekly several times","1","Paying Bills;Money Transaction;Credit card payment","5","5","4","4","Somewhat","Cheap","Satisfied","Simple user-interfaces","Yes"
"2020/11/03 9:56:39 PM GMT+5:30","Male","25-35","Gampaha","Single","Degree / Diploma","Student","Not Applicable","Weekly several times","1","Paying Bills;Money Transaction;Just to check the account balance/status","4","5","5","5","Very","Cheap","Extremely Satisfied","Reduce App loading time;Improve security of transactions","Yes"
"2020/11/03 9:58:03 PM GMT+5:30","Female","25-35","Colombo","Married","Degree / Diploma","Government /Public Service","15,000 - 100,000","Weekly several times","1","Paying Bills;Credit card payment;Just to check the account balance/status","4","4","3","4","Somewhat","Expensive","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Maybe"
"2020/11/03 9:58:52 PM GMT+5:30","Female","25-35","Colombo","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","1","Money withdrawal;Paying Bills;Money Transaction;Credit card payment","4","5","5","5","Very","Cheap","Extremely Satisfied","Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/03 9:59:50 PM GMT+5:30","Female","35-45","Kalutara","Married","Degree / Diploma","Government /Public Service","15,000 - 100,000","Every 2-3 months","1","Money deposit","3","4","4","4","Somewhat","Cheap","Satisfied","Add more functionalities","Yes"
"2020/11/03 10:03:43 PM GMT+5:30","Female","16-25","Kalutara","Single","A/L","Student","Less than 15,000","Once a month","1","Money deposit;Paying Bills;Money Transaction;Just to check the account balance/status","4","4","4","3","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions","Yes"
"2020/11/03 10:15:01 PM GMT+5:30","Female","16-25","Gampaha","Single","Degree / Diploma","Student","Not Applicable","Once a month","1","Paying Bills;Money Transaction","5","5","4","5","Somewhat","Expensive","Satisfied","Improve security of transactions","Yes"
"2020/11/03 10:37:04 PM GMT+5:30","Male","45-60","Gampaha","Married","Degree / Diploma","Government /Public Service","100,000 - 200,000","Daily several times","1","Money withdrawal;Money deposit;Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status;Pay loan EMI","5","5","4","5","Very","Expensive","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/03 10:42:57 PM GMT+5:30","Female","35-45","Colombo","Married","Degree / Diploma","Government /Public Service","15,000 - 100,000","Weekly several times","1","Just to check the account balance/status","3","3","3","3","Somewhat","Cheap","Satisfied","Add more functionalities","Yes"
"2020/11/03 10:47:17 PM GMT+5:30","Female","16-25","Colombo","Single","A/L","Student","Not Applicable","Weekly several times","1","Money withdrawal;Paying Bills;Money Transaction","4","4","4","4","Very","Cheap","Extremely Satisfied","Improve security of transactions;Add more functionalities","Yes"
"2020/11/03 11:19:11 PM GMT+5:30","Male","25-35","Kalutara","Single","Degree / Diploma","Private Sector - Employee","100,000 - 200,000","Weekly several times","4 or more","Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status","5","5","4","5","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/03 11:27:47 PM GMT+5:30","Female","25-35","Colombo","Married","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Once a month","2","Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status","4","4","3","4","Very","Cheap","Satisfied","Simple user-interfaces","Yes"
"2020/11/03 11:55:25 PM GMT+5:30","Female","25-35","Gampaha","Married","Degree / Diploma","Government /Public Service","15,000 - 100,000","Weekly Once","1","Paying Bills;Just to check the account balance/status","4","4","4","4","Somewhat","Cheap","Extremely Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/04 5:43:12 AM GMT+5:30","Female","25-35","Colombo","Single","Degree / Diploma","Student","Not Applicable","Daily Once","2","Money withdrawal;Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status","5","5","5","5","Very","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/04 7:13:06 AM GMT+5:30","Female","16-25","Galle","Single","Degree / Diploma","Student","Not Applicable","Once a month","1","Just to check the account balance/status","5","5","4","4","Somewhat","Cheap","Satisfied","Simple user-interfaces","Yes"
"2020/11/04 8:09:33 AM GMT+5:30","Male","16-25","Kurunegala","Single","A/L","Student","Not Applicable","Weekly Once","2","Money withdrawal;Money deposit;Paying Bills;Money Transaction","5","5","5","5","Somewhat","Cheap","Satisfied","Add more functionalities","Yes"
"2020/11/04 3:50:56 PM GMT+5:30","Female","25-35","Colombo","Single","Degree / Diploma","Private Sector- Executive","15,000 - 100,000","Weekly several times","2","Money withdrawal;Money deposit;Paying Bills;Money Transaction;Just to check the account balance/status;Pay loan EMI","5","5","4","5","Somewhat","Cheap","Satisfied","Improve security of transactions","Yes"
"2020/11/04 4:29:47 PM GMT+5:30","Female","25-35","Colombo","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","2","Money deposit;Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status","5","5","4","4","Somewhat","Cheap","Satisfied","Improve security of transactions;Add more functionalities","Yes"
"2020/11/04 5:34:07 PM GMT+5:30","Female","25-35","Gampaha","Married","Degree / Diploma","Government /Public Service","15,000 - 100,000","Weekly Once","1","Paying Bills;Just to check the account balance/status","4","4","4","4","Somewhat","Cheap","Extremely Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/04 9:14:15 PM GMT+5:30","Male","16-25","Galle","Single","Degree / Diploma","Student","Not Applicable","Daily Once","2","Money withdrawal;Money deposit;Paying Bills;Money Transaction;Credit card payment;Just to check the account balance/status","5","5","5","5","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/06 10:48:20 AM GMT+5:30","Female","25-35","Colombo","Married","Masters / PHD","Private Sector - Employee","Not Applicable","Weekly Once","4 or more","Paying Bills;Money Transaction;Just to check the account balance/status","5","5","3","5","Somewhat","Expensive","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/21 11:36:49 AM GMT+5:30","Male","25-35","Kalutara","Single","Degree / Diploma","Student","Not Applicable","Weekly several times","2","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","5","4","Very","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Add more functionalities","Yes"
"2020/11/21 11:40:09 AM GMT+5:30","Male","25-35","Polonnaruwa","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","1","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","3","4","Somewhat","Cheap","Satisfied","Simple user-interfaces;Add more functionalities","Yes"
"2020/11/21 12:23:46 PM GMT+5:30","Female","16-25","Kegalle","Single","Degree / Diploma","Private Sector - Employee","100,000 - 200,000","Weekly several times","1","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","5","5","Very","Expensive","Extremely Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/21 12:25:36 PM GMT+5:30","Female","16-25","Badulla","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","1","Online transactions;Paying Bills;Money Transaction (Third party)","3","5","4","4","Very","Cheap","Satisfied","Reduce App loading time","Yes"
"2020/11/21 12:31:38 PM GMT+5:30","Female","16-25","Gampaha","Single","Degree / Diploma","Student","Less than 15,000","Once a month","2","Online transactions;Paying Bills;Just to check the account balance/status","5","5","4","4","Somewhat","Expensive","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/21 12:38:45 PM GMT+5:30","Male","16-25","Gampaha","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","2","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","4","4","Very","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions","Yes"
"2020/11/21 1:56:09 PM GMT+5:30","Female","25-35","Colombo","Single","Degree / Diploma","Private Sector - Employee","100,000 - 200,000","Weekly Once","3","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","4","4","4","4","Very","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/21 2:38:39 PM GMT+5:30","Male","25-35","Kalutara","Single","Degree / Diploma","Private Sector- Executive","100,000 - 200,000","Daily several times","3","Online transactions;Paying Bills;Money Transaction (Third party);Credit card payment","5","5","5","5","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/21 3:18:00 PM GMT+5:30","Male","16-25","Hambantota","Single","A/L","Student","Not Applicable","Weekly Once","2","Money Transaction (Third party)","2","3","2","2","Somewhat","Expensive","Satisfied","Improve security of transactions","Yes"
"2020/11/21 3:19:16 PM GMT+5:30","Female","16-25","Gampaha","Single","Degree / Diploma","Private Sector- Executive","100,000 - 200,000","Weekly several times","1","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","4","4","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions","Yes"
"2020/11/21 3:22:28 PM GMT+5:30","Male","16-25","Gampaha","Single","A/L","Private Sector - Employee","15,000 - 100,000","Weekly Once","2","Online transactions;Paying Bills;Just to check the account balance/status","5","5","5","5","Very","Cheap","Satisfied","Simple user-interfaces;Improve security of transactions;Add more functionalities","Yes"
"2020/11/21 3:49:30 PM GMT+5:30","Male","25-35","Kalutara","Single","Degree / Diploma","Student","Less than 15,000","Daily several times","2","Online transactions;Paying Bills;Money Transaction (Third party);Credit card payment;Just to check the account balance/status","5","5","5","5","Not secure","Cheap","Satisfied","Add more functionalities","Yes"
"2020/11/21 3:50:59 PM GMT+5:30","Female","16-25","Colombo","Single","A/L","Student","Not Applicable","Every 2-3 months","3","Online transactions;Money Transaction (Third party);Just to check the account balance/status","5","5","5","5","Very","Cheap","Extremely Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/21 3:53:19 PM GMT+5:30","Female","45-60","Gampaha","Married","Degree / Diploma","Government /Public Service","15,000 - 100,000","Once a month","2","Online transactions;Paying Bills;Credit card payment","5","5","3","4","Somewhat","Cheap","Satisfied","Simple user-interfaces;Add more functionalities","Yes"
