"Timestamp","1. Gender","2. What is your age ?","3. Current living District","4. Marital status","5. Highest Education Qualification","6. What is your Employment?","7. What is your monthly income range (If you don’t have a job, select NA)?","8. How often do you use the mobile banking service?","9. How many banking mobile app services you are using (in different banks)?","10. What services do you use in banking mobile app? ","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [24 hour access (anytime can access)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Time savings(no need to go to bank)]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Cost savings ]","11. Rate the benefits of mobile banking service. (On a scale 1 - lowest, 5 - highest)  [Ease of use]","12. Do you perceive mobile banking as secure","13. Do you think mobile banking service is cheap or expensive than traditional banking?","14. Please rate your overall satisfaction level of mobile banking service.","15. How do you think mobile banking apps can be improved?","16. Do you recommend banking mobile apps for others?"
"2020/11/22 7:17:30 AM GMT+5:30","Male","Above 60","Gampaha","Married","Degree / Diploma","Pensionier","100,000 - 200,000","Weekly several times","1","Online transactions;Paying Bills;Money Transaction (Third party);Credit card payment","3","3","3","3","Very","Cheap","Extremely Satisfied","Simple user-interfaces","Yes"
"2020/11/22 9:51:01 AM GMT+5:30","Female","16-25","Kegalle","Single","Degree / Diploma","Student","Not Applicable","Weekly several times","1","Online transactions;Paying Bills;Money Transaction (Third party);Credit card payment;Just to check the account balance/status","4","4","4","3","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/22 12:01:22 PM GMT+5:30","Male","25-35","Badulla","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","2","Online transactions;Paying Bills","5","5","4","4","Very","Cheap","Satisfied","Simple user-interfaces;Improve security of transactions","Maybe"
"2020/11/22 1:46:35 PM GMT+5:30","Female","25-35","Gampaha","Single","A/L","Government /Public Service","15,000 - 100,000","Every 2-3 months","2","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","4","4","4","4","Somewhat","Expensive","Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/22 2:07:55 PM GMT+5:30","Female","16-25","Colombo","Single","A/L","Unemployed","Less than 15,000","Once a month","1","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","4","5","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time;Improve security of transactions;Add more functionalities","Yes"
"2020/11/22 2:27:43 PM GMT+5:30","Female","25-35","Gampaha","Single","A/L","Government /Public Service","15,000 - 100,000","Every 2-3 months","2","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","4","4","4","4","Somewhat","Expensive","Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/22 2:28:08 PM GMT+5:30","Female","16-25","Gampaha","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly Once","3","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","5","5","5","5","Somewhat","Expensive","Extremely Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/22 3:19:05 PM GMT+5:30","Male","25-35","Puttalam","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","1","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","4","4","2","3","Somewhat","Cheap","Satisfied","Simple user-interfaces;Reduce App loading time","Yes"
"2020/11/22 4:03:14 PM GMT+5:30","Male","25-35","Kalutara","Single","Degree / Diploma","Private Sector - Employee","15,000 - 100,000","Weekly several times","2","Online transactions;Paying Bills;Money Transaction (Third party);Just to check the account balance/status","4","4","4","4","Very","Expensive","Satisfied","Simple user-interfaces","Yes"
"2020/11/22 4:27:48 PM GMT+5:30","Female","25-35","Gampaha","Single","Masters / PHD","Student","Not Applicable","Every 2-3 months","1","Online transactions","5","5","3","5","Somewhat","Cheap","Neutral","Improve security of transactions","Yes"
